201810160BOS,PHI,34.0,87.0,5.0,26.0,14.0,23.0,6.0,41.0,47.0,18.0,8.0,5.0,16.0,20.0,87.0,87.0,BOS,42.0,97.0,11.0,37.0,10.0,14.0,12.0,43.0,55.0,21.0,7.0,5.0,14.0,20.0,105.0,105.0
201810160GSW,OKC,33.0,91.0,10.0,37.0,24.0,37.0,16.0,29.0,45.0,21.0,12.0,6.0,14.0,21.0,100.0,100.0,GSW,42.0,95.0,7.0,26.0,17.0,18.0,17.0,41.0,58.0,28.0,7.0,7.0,21.0,29.0,108.0,108.0
201810170CHO,MIL,42.0,85.0,14.0,34.0,15.0,20.0,11.0,46.0,57.0,26.0,5.0,4.0,21.0,25.0,113.0,113.0,CHO,41.0,92.0,16.0,38.0,14.0,22.0,9.0,32.0,41.0,21.0,8.0,9.0,11.0,19.0,112.0,112.0
201810170DET,BRK,40.0,82.0,5.0,27.0,15.0,22.0,5.0,34.0,39.0,28.0,9.0,5.0,17.0,23.0,100.0,100.0,DET,39.0,92.0,6.0,24.0,19.0,22.0,14.0,32.0,46.0,21.0,5.0,5.0,14.0,20.0,103.0,103.0
201810170HOU,NOP,52.0,98.0,10.0,25.0,17.0,22.0,14.0,40.0,54.0,36.0,8.0,3.0,12.0,25.0,131.0,131.0,HOU,39.0,92.0,16.0,48.0,18.0,24.0,8.0,29.0,37.0,21.0,8.0,7.0,11.0,22.0,112.0,112.0
201810170IND,MEM,25.0,84.0,10.0,29.0,23.0,28.0,7.0,21.0,28.0,16.0,11.0,3.0,7.0,18.0,83.0,83.0,IND,47.0,83.0,10.0,26.0,7.0,13.0,13.0,44.0,57.0,29.0,2.0,7.0,20.0,24.0,111.0,111.0
201810170LAC,DEN,33.0,87.0,8.0,24.0,33.0,42.0,14.0,42.0,56.0,20.0,6.0,9.0,10.0,22.0,107.0,107.0,LAC,35.0,88.0,8.0,28.0,20.0,24.0,9.0,38.0,47.0,21.0,3.0,9.0,12.0,32.0,98.0,98.0
201810170NYK,ATL,41.0,90.0,10.0,36.0,15.0,18.0,7.0,38.0,45.0,19.0,7.0,3.0,24.0,30.0,107.0,107.0,NYK,45.0,99.0,12.0,33.0,24.0,31.0,10.0,36.0,46.0,21.0,12.0,6.0,15.0,23.0,126.0,126.0
201810170ORL,MIA,38.0,97.0,9.0,33.0,16.0,22.0,14.0,38.0,52.0,16.0,4.0,5.0,16.0,28.0,101.0,101.0,ORL,39.0,94.0,7.0,25.0,19.0,31.0,14.0,37.0,51.0,20.0,7.0,7.0,12.0,25.0,104.0,104.0
201810170PHO,DAL,38.0,88.0,10.0,33.0,14.0,20.0,10.0,28.0,38.0,28.0,7.0,5.0,9.0,16.0,100.0,100.0,PHO,44.0,81.0,19.0,34.0,14.0,16.0,6.0,38.0,44.0,35.0,5.0,2.0,11.0,22.0,121.0,121.0
201810170SAC,UTA,41.0,79.0,13.0,27.0,28.0,38.0,5.0,39.0,44.0,21.0,8.0,4.0,17.0,19.0,123.0,123.0,SAC,49.0,95.0,7.0,19.0,12.0,18.0,5.0,32.0,37.0,17.0,8.0,3.0,9.0,27.0,117.0,117.0
201810170SAS,MIN,39.0,91.0,6.0,19.0,24.0,27.0,14.0,32.0,46.0,20.0,9.0,2.0,11.0,27.0,108.0,108.0,SAS,40.0,93.0,11.0,25.0,21.0,29.0,19.0,33.0,52.0,22.0,3.0,4.0,12.0,22.0,112.0,112.0
201810170TOR,CLE,34.0,85.0,7.0,19.0,29.0,39.0,14.0,35.0,49.0,17.0,4.0,0.0,16.0,25.0,104.0,104.0,TOR,45.0,92.0,14.0,33.0,12.0,20.0,8.0,35.0,43.0,21.0,6.0,7.0,9.0,29.0,116.0,116.0
201810180PHI,CHI,44.0,101.0,11.0,33.0,9.0,12.0,5.0,34.0,39.0,28.0,4.0,6.0,12.0,23.0,108.0,108.0,PHI,39.0,90.0,8.5,31.0,20.5,26.5,8.5,42.5,51.0,24.0,9.0,6.5,14.5,18.5,107.0,127.0
201810180POR,LAL,45.0,93.0,7.0,30.0,22.0,29.0,8.0,38.0,46.0,23.0,10.0,6.0,15.0,26.0,119.0,119.0,POR,44.0,100.0,13.0,37.0,27.0,29.0,14.0,40.0,54.0,21.0,9.0,10.0,16.0,26.0,128.0,128.0
201810180WAS,MIA,38.0,97.0,10.5,34.0,20.5,28.0,18.0,35.5,53.5,20.5,5.0,5.0,16.0,27.0,107.0,113.0,WAS,38.0,81.0,7.0,26.0,29.0,39.0,7.0,33.0,40.0,19.0,7.0,15.0,14.0,31.0,112.0,112.0
201810190BRK,NYK,42.0,98.0,10.5,30.5,21.0,25.5,11.0,30.0,41.0,17.5,11.0,3.5,9.0,21.0,115.5,105.0,BRK,38.5,78.5,8.5,28.5,18.0,23.0,8.5,38.5,47.0,25.0,5.5,5.5,19.5,23.0,103.5,107.0
201810190LAC,OKC,33.5,93.0,8.5,35.0,20.5,30.0,15.5,33.0,48.5,19.5,8.5,5.0,13.0,25.0,96.0,92.0,LAC,35.0,84.5,9.5,27.0,23.5,30.0,9.5,38.0,47.5,21.0,3.0,6.0,13.0,28.0,103.0,108.0
201810190MEM,ATL,41.0,86.5,12.0,33.0,18.0,27.0,9.0,33.5,42.5,23.0,8.0,4.0,21.5,30.5,112.0,117.0,MEM,34.5,82.5,11.5,27.5,26.5,35.5,7.0,27.5,34.5,24.0,10.0,3.5,11.5,23.5,107.0,131.0
201810190MIL,IND,42.5,85.0,8.0,22.0,13.0,20.0,11.0,38.0,49.0,21.5,4.5,5.0,18.5,24.5,106.0,101.0,MIL,43.0,89.0,15.5,40.0,14.0,20.5,11.0,42.5,53.5,26.5,7.0,6.0,19.0,25.5,115.5,118.0
201810190MIN,CLE,39.5,89.0,7.5,21.0,27.0,34.0,13.5,32.5,46.0,21.5,4.5,1.0,15.0,24.5,113.5,123.0,MIN,41.5,89.0,8.0,22.0,28.5,31.0,11.5,31.5,43.0,24.0,9.0,4.5,12.0,24.0,119.5,131.0
201810190NOP,SAC,49.5,95.5,8.5,22.0,15.5,22.0,7.0,31.0,38.0,20.5,7.0,2.5,11.0,26.5,123.0,129.0,NOP,54.0,96.5,13.0,28.0,19.0,27.5,13.0,40.0,53.0,35.5,7.0,3.5,14.0,25.0,140.0,149.0
201810190ORL,CHO,42.0,92.0,16.5,38.0,15.5,21.0,10.5,37.5,48.0,26.5,7.0,6.5,13.0,18.0,116.0,120.0,ORL,37.5,94.0,6.5,28.0,14.5,22.5,13.0,34.5,47.5,19.0,7.5,7.0,13.5,20.5,96.0,88.0
